"NPA","CO Code (NXX)","Status","Exchange Area","Province","Company","OCN","Remarks"
,,,,,,,2024-01-23
204,200,"In Service","Winnipeg","MB","FlexITy Solutions Inc","930E",
204,201,"In Service","Winnipeg","MB","Zayo Canada Inc.","8304",
204,202,"In Service","Winnipeg","MB","Fibernetics Corporation","464D",
204,203,"In Service","Poplar Point","MB","Provincial Tel Inc.","498E",
204,204,"Not Available",,,,,"Home NPA"
204,205,"In Service","Beausejour","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,206,"In Service","Teulon","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,207,"In Service","Roblin","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,208,"In Service","Pilot Mound","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,209,"In Service","Morris","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,210,"In Service","Minnedosa","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,211,"For Special Use",,,,,"Public Information and Referral Services"
204,212,"In Service","Neepawa","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,213,"In Service","Lac Du Bonnet","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,214,"In Service","Eriksdale","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,215,"In Service","Boissevain","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,216,"In Service","Altona","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,217,"In Service","Altona","MB","Provincial Tel Inc.","498E",
204,218,"In Service","Winnipeg","MB","TELUS Mobility","8303",
204,219,"In Service","Winnipeg","MB","Shaw Telecom Inc.","497E",
204,220,"In Service","Winnipeg","MB","Bell West Inc.","2933",
204,221,"In Service","Winnipeg","MB","Shaw Telecom Inc.","497E",
204,222,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,223,"In Service","Winnipeg","MB","MTS Inc.","991B",
204,224,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,225,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,226,"In Service","Winnipeg","MB","MTS Inc.","991B",
204,227,"In Service","Winnipeg","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,228,"In Service","Winnipeg","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,229,"In Service","Winnipeg","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,230,"In Service","Winnipeg","MB","Rogers Communications Canada Inc. (Wireless)","8821",
204,231,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,232,"In Service","Winnipeg","MB","MTS Inc.","991B",
204,233,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,234,"In Service","Oakburn","MB","MTS Inc.","8088",
204,235,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,236,"In Service","Birch River","MB","MTS Inc.","8088",
204,237,"In Service","Winnipeg","MB","MTS Inc.","8088",
204,238,"In Service","Bowsman","MB","MTS Inc.","8088",
204,239,"In Service","Portage La Prairie","MB","MTS Inc.","8088",
